,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city
0,2015,Renault,Renault Lodgy 110 PS RXZ [2015-2016],Lodgy,650000.0,65349.0,Diesel,Bangalore
1,2018,Hyundai,Hyundai Creta SX 1.6 CRDi (O),Creta,1395000.0,55627.0,Diesel,Bangalore
2,2007,Honda,Honda City ZX VTEC,City,325000.0,76890.0,Petrol,Bangalore
3,2010,Skoda,Skoda Superb Elegance TSI AT,Superb,675000.0,61000.0,Petrol,Bangalore
4,2017,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.2,Baleno,735000.0,33905.0,Petrol,Bangalore
5,2019,BMW,BMW X5 xDrive30d xLine,X5,6600000.0,26000.0,Diesel,Bangalore
6,2014,Mahindra,Mahindra XUV500 W8 [2015-2017],XUV500,915000.0,52255.0,Diesel,Bangalore
7,2010,Hyundai,Hyundai i10 Sportz 1.2,i10,280000.0,72799.0,Petrol,Bangalore
8,2017,Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],Grand,585000.0,27805.0,Petrol,Bangalore
9,2017,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.2,Baleno,735000.0,33984.0,Petrol,Bangalore
10,2017,Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],Grand,599000.0,35876.0,Petrol,Bangalore
11,2018,Hyundai,Hyundai Creta SX 1.6 AT Petrol,Creta,1450000.0,26966.0,Petrol,Bangalore
12,2016,Maruti Suzuki,Maruti Suzuki Swift Dzire VXI AT ABS,Swift,695000.0,47057.0,Petrol,Bangalore
13,2018,Mahindra,Mahindra XUV500 W7 [2018-2020],XUV500,1425000.0,53636.0,Diesel,Bangalore
14,2013,Honda,Honda CR-V 2.4L 4WD AVN,CR-V,1399000.0,94055.0,Petrol,Bangalore
15,2019,Maruti Suzuki,Maruti Suzuki Swift VXi AMT,Swift,745000.0,18680.0,Petrol,Bangalore
16,2018,Mahindra,Mahindra XUV500 W7 [2018-2020],XUV500,1425000.0,53636.0,Diesel,Bangalore
17,2018,Maruti Suzuki,Maruti Suzuki Swift VXi AMT [2018-2019],Swift,680000.0,39792.0,Petrol,Bangalore
18,2017,Hyundai,Hyundai Creta SX Plus 1.6 Petrol,Creta,1145000.0,61307.0,Petrol,Bangalore
19,2018,Mahindra,Mahindra XUV500 W11 AT,XUV500,1795000.0,53769.0,Diesel,Bangalore
20,2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,595000.0,51016.0,Petrol,Bangalore
21,2018,Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi,Vitara,935000.0,30356.0,Diesel,Bangalore
22,2015,Skoda,Skoda Rapid 1.5 TDI CR Elegance AT,Rapid,745000.0,60997.0,Diesel,Bangalore
23,2013,Honda,Honda CR-V 2.4L 4WD AVN,CR-V,1399000.0,94030.0,Petrol,Bangalore
24,2017,Hyundai,Hyundai Creta SX 1.6 CRDI (O),Creta,1299000.0,60559.0,Diesel,Bangalore
25,2017,Hyundai,Hyundai Creta SX 1.6 CRDI,Creta,1185000.0,68796.0,Diesel,Bangalore
26,2017,Volkswagen,Volkswagen Vento Highline Plus 1.5 (D) 16 Alloy,Vento,944999.9999999999,42876.0,Diesel,Bangalore
27,2019,Mahindra,Mahindra XUV500 W11(O) [2018-2020],XUV500,1785000.0000000002,28713.0,Diesel,Bangalore
28,2017,Hyundai,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,Grand,599000.0,35855.0,Petrol,Bangalore
29,2018,Hyundai,Hyundai Creta SX 1.6 (O) Petrol,Creta,1345000.0,36986.0,Petrol,Bangalore
30,2018,Hyundai,Hyundai Creta SX Plus 1.6 Petrol,Creta,1295000.0,26605.0,Petrol,Bangalore
31,2018,Hyundai,Hyundai Creta 1.6 SX Plus AT Petrol,Creta,1345000.0,50192.0,Petrol,Bangalore
32,2013,Toyota,Toyota Corolla Altis JS Petrol,Corolla,725000.0,44862.0,Petrol,Bangalore
33,2017,Hyundai,Hyundai Creta 1.6 SX Plus AT Petrol,Creta,1165000.0,74848.0,Petrol,Bangalore
34,2018,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 MT,Ciaz,949000.0,15133.0,Petrol,Bangalore
35,2018,Honda,Honda City V,City,925000.0,40542.0,Petrol,Bangalore
36,2017,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.2,Baleno,735000.0,33905.0,Petrol,Bangalore
37,2018,Hyundai,Hyundai Creta SX 1.6 CRDi (O),Creta,1395000.0,55627.0,Diesel,Bangalore
38,2021,MG,MG Hector Sharp 2.0 Diesel [2019-2020],Hector,2150000.0,10860.0,Diesel,Bangalore
39,2017,Hyundai,Hyundai Creta 1.6 S Plus AT,Creta,1345000.0,52165.0,Diesel,Bangalore
40,2018,Hyundai,Hyundai Creta 1.6 SX Plus AT Petrol,Creta,1395000.0,36412.0,Petrol,Bangalore
41,2018,Hyundai,Hyundai Creta SX 1.6 CRDi (O),Creta,1395000.0,55692.0,Diesel,Bangalore
42,2017,Hyundai,Hyundai Creta 1.6 SX Plus Petrol,Creta,1145000.0,61252.0,Petrol,Bangalore
43,2017,Hyundai,Hyundai Creta SX Plus 1.6 Petrol,Creta,1175000.0,31663.0,Petrol,Bangalore
44,2017,Fiat,Fiat Avventura Emotion Multijet 1.3,Avventura,740000.0,15440.0,Diesel,Bangalore
45,2020,Mahindra,Mahindra Thar LX 4-STR Hard Top Diesel MT,Thar,1685000.0000000002,10035.0,Diesel,Bangalore
46,2013,Hyundai,Hyundai i10 Era 1.1 iRDE2 [2010-2017],i10,335000.0,45654.0,Petrol,Bangalore
47,2017,Renault,Renault Kwid 1.0 RXT AMT Opt [2016-2019],Kwid,409999.99999999994,13839.0,Petrol,Bangalore
48,2015,Nissan,Nissan Micra Active XL,Micra,465000.00000000006,13123.0,Petrol,Bangalore
49,2018,Maruti Suzuki,Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],Eeco,434999.99999999994,41581.0,Petrol,Bangalore
50,2013,Hyundai,Hyundai Eon D-Lite,Eon,290000.0,35421.0,Petrol,Bangalore
51,2016,Honda,Honda Jazz S MT [2015-2016],Jazz,580000.0,44814.0,Petrol,Bangalore
52,2016,Hyundai,Hyundai Fluidic Verna 4S 1.6 VTVT S,Fluidic,699000.0,42811.0,Petrol,Bangalore
53,2016,Maruti Suzuki,Maruti Suzuki Ciaz ZXi AT,Ciaz,750000.0,45949.0,Petrol,Bangalore
54,2015,Maruti Suzuki,Maruti Suzuki Alto 800 Lxi,Alto,375000.0,18760.0,Petrol,Bangalore
55,2015,Maruti Suzuki,Maruti Suzuki Ciaz ZXI+,Ciaz,699000.0,74541.0,Petrol,Bangalore
56,2016,Hyundai,Hyundai Fluidic Verna 4S 1.6 VTVT S,Fluidic,699000.0,42811.0,Petrol,Bangalore
57,2016,Maruti Suzuki,Maruti Suzuki Ciaz ZXi AT,Ciaz,750000.0,45949.0,Petrol,Bangalore
58,2015,Maruti Suzuki,Maruti Suzuki Alto 800 Lxi,Alto,375000.0,18760.0,Petrol,Bangalore
59,2013,Hyundai,Hyundai i10 Era 1.1 iRDE2 [2010-2017],i10,335000.0,45654.0,Petrol,Bangalore
60,2017,Renault,Renault Kwid 1.0 RXT AMT Opt [2016-2019],Kwid,409999.99999999994,13839.0,Petrol,Bangalore
61,2014,Renault,Renault Pulse RxZ Airbags,Pulse,434999.99999999994,63756.0,Diesel,Bangalore
62,2016,Volkswagen,Volkswagen Cross Polo 1.5 TDI,Cross,685000.0,36321.0,Diesel,Bangalore
63,2018,Maruti Suzuki,Maruti Suzuki Baleno Zeta,Baleno,690000.0,70256.0,Petrol,Bangalore
64,2015,Maruti Suzuki,Maruti Suzuki Celerio ZXi AMT [2019-2020],Celerio,470000.0,35153.0,Petrol,Bangalore
65,2017,Tata,Tata Tiago Revotron XZ,Tiago,590000.0,8081.0,Petrol,Bangalore
66,2015,Maruti Suzuki,Maruti Suzuki Ciaz ZXI+,Ciaz,699000.0,74541.0,Petrol,Bangalore
67,2018,Maruti Suzuki,Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],Eeco,434999.99999999994,41581.0,Petrol,Bangalore
68,2014,Maruti Suzuki,Maruti Suzuki Celerio VXi AMT,Celerio,400000.0,46160.0,Petrol,Bangalore
69,2018,Renault,Renault Kwid 1.0 RXT AMT Opt [2016-2019],Kwid,445000.0,22795.0,Petrol,Bangalore
70,2017,Maruti Suzuki,Maruti Suzuki Celerio VXi [2017-2019],Celerio,484999.99999999994,20894.0,Petrol,Bangalore
71,2014,Hyundai,Hyundai Elite i20 Sportz 1.2 (O),Elite,599000.0,75447.0,Petrol,Bangalore
72,2019,Maruti Suzuki,Maruti Suzuki Alto K10 VXi,Alto,440000.00000000006,16067.0,Petrol,Bangalore
73,2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,560000.0,59117.0,Petrol,Bangalore
74,2015,Nissan,Nissan Micra Active XL,Micra,465000.00000000006,13123.0,Petrol,Bangalore
75,2018,Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],Grand,585000.0,68838.0,Petrol,Bangalore
76,2016,Mahindra,Mahindra KUV100 K6 D 5 STR [2016-2017],KUV100,484999.99999999994,62006.0,Diesel,Bangalore
77,2018,Maruti Suzuki,Maruti Suzuki Baleno Zeta,Baleno,690000.0,70256.0,Petrol,Bangalore
78,2016,Hyundai,Hyundai i20 Active 1.2 SX,i20,745000.0,24301.0,Petrol,Bangalore
79,2017,Volkswagen,Volkswagen Polo Comfortline 1.2L (P),Polo,610000.0,44482.0,Petrol,Bangalore
80,2017,Volkswagen,Volkswagen Polo Comfortline 1.2L (P),Polo,610000.0,44482.0,Petrol,Bangalore
81,2018,Toyota,Toyota Yaris J CVT [2018-2020],Yaris,869999.9999999999,14122.0,Petrol,Bangalore
82,2015,Hyundai,Hyundai Elite i20 Magna 1.2,Elite,569000.0,13065.0,Petrol,Bangalore
83,2018,Renault,Renault Duster RXS CVT,Duster,950000.0,22581.0,Petrol,Bangalore
84,2015,Renault,Renault Kwid RXT [2015-2019],Kwid,340000.0,54806.0,Petrol,Bangalore
85,2019,Mahindra,Mahindra XUV300 1.5 W8 (O) AMT [2019-2020],XUV300,1290000.0,149313.0,Diesel,Bangalore
86,2018,Renault,Renault Duster RXS CVT,Duster,950000.0,22586.0,Petrol,Bangalore
87,2020,Renault,Renault Triber RXZ [2019-2020],Triber,745000.0,5681.0,Petrol,Bangalore
88,2017,Renault,Renault Duster 110 PS RxZ AWD,Duster,999000.0,57800.0,Diesel,Bangalore
89,2017,Renault,Renault Duster 110 PS RXZ 4X2 MT Diesel,Duster,999000.0,57800.0,Diesel,Bangalore
90,2014,Honda,Honda City SV,City,625000.0,55000.0,Petrol,Bangalore
91,2014,Honda,Honda City SV,City,625000.0,55000.0,Petrol,Bangalore
92,2020,MG,MG Hector Sharp 1.5 DCT Petrol [2019-2020],Hector,1889999.9999999998,5697.0,Petrol,Bangalore
93,2015,Hyundai,Hyundai Elite i20 Magna 1.2,Elite,569000.0,13065.0,Petrol,Bangalore
94,2014,Honda,Honda City SV,City,625000.0,55000.0,Petrol,Bangalore
95,2018,Renault,Renault Duster RXS CVT,Duster,950000.0,22586.0,Petrol,Bangalore
96,2014,Toyota,Toyota Corolla Altis 1.8 VL AT,Corolla,1195000.0,37411.0,Petrol,Bangalore
97,2016,Hyundai,Hyundai i10 Sportz 1.1 iRDE2 [2010--2017],i10,425000.0,35406.0,Petrol,Bangalore
98,2017,Tata,Tata Nexon XZ Plus Diesel,Nexon,915000.0,66078.0,Diesel,Bangalore
99,2017,Tata,Tata Tigor Revotron XZA,Tigor,545000.0,47265.0,Petrol,Bangalore
100,2015,Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],Grand,535000.0,58671.0,Petrol,Bangalore
101,2017,Tata,Tata Nexon XZ Plus Diesel,Nexon,915000.0,66078.0,Diesel,Bangalore
102,2013,Hyundai,Hyundai i20 Sportz 1.2 BS-IV,i20,459999.99999999994,39780.0,Petrol,Bangalore
103,2016,Hyundai,Hyundai Elite i20 Sportz 1.2 [2016-2017],Elite,550000.0,85871.0,Petrol,Bangalore
104,2016,Hyundai,Hyundai Elite i20 Sportz 1.2 [2016-2017],Elite,550000.0,85871.0,Petrol,Bangalore
105,2014,Toyota,Toyota Corolla Altis 1.8 VL AT,Corolla,1195000.0,37411.0,Petrol,Bangalore
106,2016,Hyundai,Hyundai i10 Sportz 1.1 iRDE2 [2010--2017],i10,425000.0,35406.0,Petrol,Bangalore
107,2017,Tata,Tata Nexon XZ Plus Diesel,Nexon,915000.0,66078.0,Diesel,Bangalore
108,2016,Mahindra,Mahindra TUV300 T8,TUV300,745000.0,55946.0,Diesel,Bangalore
109,2016,Mahindra,Mahindra TUV300 T8,TUV300,745000.0,55946.0,Diesel,Bangalore
110,2015,Volkswagen,Volkswagen Vento TSI,Vento,725000.0,48987.0,Petrol,Bangalore
111,2016,Audi,Audi Q3 35 TDI Premium + Sunroof,Q3,2575000.0,40786.0,Diesel,Bangalore
112,2018,Volkswagen,Volkswagen Polo Comfortline 1.2L (P),Polo,725000.0,31000.0,Petrol,Bangalore
113,2012,Honda,Honda Brio S MT,Brio,355000.0,61409.0,Petrol,Bangalore
