,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city
0,2016,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.3,Baleno,680000.0,93525.0,Diesel,Hyderabad
1,2017,Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI AMT,Wagon,520000.0,40904.0,Petrol,Hyderabad
2,2004,Toyota,Toyota Qualis GS G1,Qualis,240000.0,209616.0,Diesel,Hyderabad
3,2014,Maruti Suzuki,Maruti Suzuki Ertiga ZDi,Ertiga,735000.0,43294.0,Diesel,Hyderabad
4,2013,Mercedes-Benz,Mercedes-Benz E-Class E250 CDI Avantgarde,E-Class,1850000.0,89000.0,Diesel,Hyderabad
5,2019,Ford,Ford EcoSport Titanium 1.5L TDCi,EcoSport,1050000.0,15250.0,Diesel,Hyderabad
6,2019,Jaguar,Jaguar F-Pace Prestige,F-Pace,5900000.0,20763.0,Diesel,Hyderabad
7,2016,Hyundai,Hyundai Xcent S 1.1 CRDi,Xcent,430000.0,127000.0,Diesel,Hyderabad
8,2017,Maruti Suzuki,Maruti Suzuki S-Cross Alpha 1.6,S-Cross,930000.0000000001,36057.0,Diesel,Hyderabad
9,2015,Hyundai,Hyundai Creta 1.6 SX Plus AT,Creta,1345000.0,88630.0,Diesel,Hyderabad
10,2016,Skoda,Skoda Rapid 1.5 TDI CR Style Plus AT,Rapid,950000.0,42282.0,Diesel,Hyderabad
11,2018,Maruti Suzuki,Maruti Suzuki Ciaz Zeta 1.4 AT,Ciaz,980000.0000000001,18178.0,Petrol,Hyderabad
12,2014,Maruti Suzuki,Maruti Suzuki Swift VDi,Swift,560000.0,32525.0,Diesel,Hyderabad
13,2016,Mahindra,Mahindra XUV500 W8 [2015-2017],XUV500,1200000.0,75441.0,Diesel,Hyderabad
14,2018,Mahindra,Mahindra XUV500 W11,XUV500,1550000.0,34444.0,Diesel,Hyderabad
15,2021,Volkswagen,Volkswagen Polo GT TSI,Polo,1050000.0,8862.0,Petrol,Hyderabad
16,2013,Chevrolet,Chevrolet Enjoy 1.3 LS 7 STR,Enjoy,484999.99999999994,83575.0,Diesel,Hyderabad
17,2016,Hyundai,Hyundai i20 Active 1.4L SX (O) [2015-2016],i20,685000.0,68479.0,Diesel,Hyderabad
18,2018,Mahindra,Mahindra XUV500 W10,XUV500,1400000.0,88666.0,Diesel,Hyderabad
19,2012,Hyundai,Hyundai i20 Magna 1.4 CRDI,i20,390000.0,80809.0,Diesel,Hyderabad
20,2017,Mahindra,Mahindra Verito 1.5 D4 BS-IV,Verito,450000.0,67475.0,Diesel,Hyderabad
21,2015,Ford,Ford EcoSport Titanium+ 1.5L TDCi Black Edition,EcoSport,700000.0,74595.0,Diesel,Hyderabad
22,2014,Hyundai,Hyundai Verna Fluidic 1.6 CRDi SX Opt AT,Verna,725000.0,72230.0,Diesel,Hyderabad
23,2016,Renault,Renault Duster 110 PS RXZ 4X2 AMT Diesel,Duster,785000.0,112038.0,Diesel,Hyderabad
24,2010,Honda,Honda CR-V 2.4 AT,CR-V,650000.0,116594.0,Petrol,Hyderabad
25,2020,MG,MG Hector Plus Sharp 1.5 DCT Petrol,Hector,2100000.0,16023.0,Petrol,Hyderabad
26,2020,Kia,Kia Seltos GTX Plus AT 1.5 Diesel [2019-2020],Seltos,1850000.0,57786.0,Diesel,Hyderabad
27,2017,Volkswagen,Volkswagen Ameo Comfortline 1.2L (P),Ameo,575000.0,30000.0,Petrol,Hyderabad
28,2021,Maruti Suzuki,Maruti Suzuki Vitara Brezza VXi,Vitara,1000000.0,5700.0,Petrol,Hyderabad
29,2017,Mahindra,Mahindra XUV500 W6,XUV500,1500000.0,40000.0,Diesel,Hyderabad
30,2013,Toyota,Toyota Corolla Altis G Diesel,Corolla,755000.0,78507.0,Diesel,Hyderabad
31,2012,Maruti Suzuki,Maruti Suzuki Swift DZire VXI,Swift,490000.00000000006,31757.0,Petrol,Hyderabad
32,2010,BMW,BMW 5 Series 520d Sedan,5,1400000.0,89602.0,Diesel,Hyderabad
33,2008,Mercedes-Benz,Mercedes-Benz S-Class 350,S-Class,1500000.0,38530.0,Petrol,Hyderabad
34,2009,Mercedes-Benz,Mercedes-Benz E-Class 220 CDI AT,E-Class,925000.0,47000.0,Diesel,Hyderabad
35,2012,Toyota,Toyota Etios VX-D,Etios,400000.0,88000.0,Diesel,Hyderabad
36,2016,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.3,Baleno,680000.0,93525.0,Diesel,Hyderabad
37,2011,Hyundai,Hyundai Verna Fluidic 1.6 CRDi,Verna,550000.0,75375.0,Diesel,Hyderabad
38,2009,Honda,Honda City 1.5 S MT,City,365000.0,68384.0,Petrol,Hyderabad
39,2019,Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi,Vitara,1025000.0,71750.0,Diesel,Hyderabad
40,2013,Ford,Ford EcoSport Titanium 1.5 TDCi,EcoSport,560000.0,73149.0,Diesel,Hyderabad
41,2011,Hyundai,Hyundai Verna Fluidic 1.4 VTVT,Verna,434999.99999999994,67528.0,Petrol,Hyderabad
42,2016,Honda,Honda City VX (O) MT Diesel,City,785000.0,64554.0,Diesel,Hyderabad
43,2014,BMW,BMW 3 Series GT 320d Luxury Line [2014-2016],3,2400000.0,67000.0,Diesel,Hyderabad
44,2015,Honda,Honda Jazz V Petrol,Jazz,540000.0,33400.0,Petrol,Hyderabad
45,2019,Jaguar,Jaguar F-Pace Prestige,F-Pace,5900000.0,20763.0,Diesel,Hyderabad
46,2018,Volvo,Volvo S60 Kinetic D4,S60,2800000.0,35000.0,Diesel,Hyderabad
47,2016,Volvo,Volvo XC90 D5 AWD,XC90,4700000.0,72000.0,Diesel,Hyderabad
48,2014,Volvo,Volvo S60 Summum D5,S60,2400000.0,125000.0,Diesel,Hyderabad
49,2008,Porsche,Porsche Cayenne S V8 Tiptronic,Cayenne,1600000.0,102000.0,Petrol,Hyderabad
50,2010,Porsche,Porsche Cayenne S,Cayenne,3500000.0,73000.0,Petrol,Hyderabad
51,2009,Mercedes-Benz,Mercedes-Benz E-Class E220 CDI Blue Efficiency,E-Class,1300000.0,82000.0,Diesel,Hyderabad
52,2013,Mercedes-Benz,Mercedes-Benz E-Class E220 CDI Blue Efficiency,E-Class,1900000.0,45000.0,Diesel,Hyderabad
53,2017,Jeep,Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],Compass,1650000.0,30000.0,Petrol,Hyderabad
54,2017,Mercedes-Benz,Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],E-Class,4800000.0,51000.0,Diesel,Hyderabad
55,2012,Mercedes-Benz,Mercedes-Benz M-Class 350 CDI,M-Class,2900000.0,83000.0,Diesel,Hyderabad
56,2016,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,4200000.0,72000.0,Diesel,Hyderabad
57,2016,Land Rover,Land Rover Discovery Sport HSE,Discovery,3900000.0,66000.0,Diesel,Hyderabad
58,2017,Toyota,Toyota Innova Crysta 2.4 G 7 STR [2016-2017],Innova,1700000.0,129000.0,Diesel,Hyderabad
59,2013,MINI,MINI Cooper 1.6,Cooper,1900000.0,38000.0,Petrol,Hyderabad
60,2006,BMW,BMW X5 SAV 4.4i,X5,900000.0,131000.0,Petrol,Hyderabad
61,2018,BMW,BMW 5 Series 520d M Sport,5,5400000.0,51000.0,Diesel,Hyderabad
62,2009,BMW,BMW 5 Series 520d Sedan,5,850000.0,88000.0,Diesel,Hyderabad
63,2019,BMW,BMW 6 Series GT 630d M Sport [2018-2019],6,6500000.0,54000.0,Diesel,Hyderabad
64,2015,BMW,BMW 3 Series 320d Luxury Line,3,2400000.0,46000.0,Diesel,Hyderabad
65,2012,Mercedes-Benz,Mercedes-Benz S-Class 350 CDI L,S-Class,3600000.0,63000.0,Diesel,Hyderabad
66,2015,Mercedes-Benz,Mercedes-Benz G-Class G 63 AMG,G-Class,14000000.0,23000.0,Petrol,Hyderabad
67,2018,Mercedes-Benz,Mercedes-Benz GLE Coupe 43 4MATIC [2017-2019],GLE,8500000.0,26000.0,Petrol,Hyderabad
68,2012,BMW,BMW 5 Series 520d Sedan,5,1600000.0,101000.0,Diesel,Hyderabad
69,2011,Mercedes-Benz,Mercedes-Benz C-Class C 250 CDI BlueEFFICIENCY,C-Class,1500000.0,85000.0,Diesel,Hyderabad
70,2018,Isuzu,Isuzu MU-X 4x4,MU-X,3000000.0,6500.0,Diesel,Hyderabad
71,2019,Volkswagen,Volkswagen Tiguan - 2020 Highline TDI,Tiguan,2900000.0,30000.0,Diesel,Hyderabad
72,2015,Skoda,Skoda Rapid 1.5 TDI CR Ambition with Alloy Wheels,Rapid,620000.0,45000.0,Diesel,Hyderabad
73,2017,Audi,Audi Q7 45 TDI Technology Pack,Q7,6700000.0,37914.0,Diesel,Hyderabad
74,2008,Mercedes-Benz,Mercedes-Benz M-Class 320 CDI,M-Class,1100000.0,73451.0,Diesel,Hyderabad
75,2016,Honda,Honda City SV,City,780000.0,35000.0,Petrol,Hyderabad
76,2020,Kia,Kia Sonet GTX Plus 1.5 [2020-2021],Sonet,1400000.0,19486.0,Diesel,Hyderabad
77,2016,Volkswagen,Volkswagen Polo Highline1.2L (P),Polo,630000.0,64654.0,Petrol,Hyderabad
78,2011,Honda,Honda City 1.5 V AT,City,575000.0,51000.0,Petrol,Hyderabad
79,2019,Toyota,Toyota Innova Crysta 2.4 ZX 7 STR [2016-2020],Innova,2330000.0,43000.0,Diesel,Hyderabad
80,2018,Mercedes-Benz,Mercedes-Benz CLA 200 D Urban Sport,CLA,3400000.0,23107.0,Diesel,Hyderabad
81,2011,Bentley,Bentley Continental Flying Spur W12,Continental,9500000.0,45000.0,Petrol,Hyderabad
82,2013,Land Rover,Land Rover Range Rover Evoque Dynamic SD4,Evoque,2600000.0,68000.0,Diesel,Hyderabad
83,2010,Maruti Suzuki,Maruti Suzuki Swift ZXi 1.2 BS-IV,Swift,365000.0,44900.0,Petrol,Hyderabad
84,2016,Maruti Suzuki,Maruti Suzuki Swift VDi [2014-2017],Swift,585000.0,68342.0,Diesel,Hyderabad
85,2016,Datsun,Datsun GO T,GO,360000.0,28000.0,Petrol,Hyderabad
86,2015,Volkswagen,Volkswagen Polo GT TSI,Polo,625000.0,65000.0,Petrol,Hyderabad
87,2019,Toyota,Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],Innova,2100000.0,53000.0,Diesel,Hyderabad
88,2019,Skoda,Skoda Rapid Monte Carlo 1.6 MPI AT,Rapid,1135000.0,29867.0,Petrol,Hyderabad
89,2019,Honda,Honda BR-V VX Diesel,BR-V,1075000.0,55000.0,Diesel,Hyderabad
90,2011,Maruti Suzuki,Maruti Suzuki A-Star Vxi,A-Star,275000.0,71000.0,Petrol,Hyderabad
91,2018,Mahindra,Mahindra XUV500 W7 [2018-2020],XUV500,1230000.0,72000.0,Diesel,Hyderabad
92,2012,Volkswagen,Volkswagen Jetta Highline TDI,Jetta,600000.0,110000.0,Diesel,Hyderabad
93,2014,Maruti Suzuki,Maruti Suzuki Celerio VXi AMT,Celerio,375000.0,24500.0,Petrol,Hyderabad
94,2011,Hyundai,Hyundai i10 Magna 1.2 Kappa2,i10,350000.0,55289.0,Petrol,Hyderabad
95,2016,Maruti Suzuki,Maruti Suzuki Ertiga VDI SHVS,Ertiga,785000.0,84640.0,Diesel,Hyderabad
96,2014,BMW,BMW 3 Series 320d Luxury Line,3,2000000.0,31000.0,Diesel,Hyderabad
97,2008,Audi,Audi Q7 3.0 TDI quattro,Q7,1800000.0,70000.0,Diesel,Hyderabad
98,2018,Jaguar,Jaguar XJ L 3.0 Portfolio,XJ,7500000.0,22000.0,Diesel,Hyderabad
99,2014,Audi,Audi A6 2.0 TDI Premium Plus,A6,2550000.0,33024.0,Diesel,Hyderabad
100,2019,Volvo,Volvo S90 Inscription D4 [2016-2020],S90,4850000.0,36000.0,Diesel,Hyderabad
101,2013,Volkswagen,Volkswagen Polo Highline1.2L (D),Polo,430000.0,72995.0,Diesel,Hyderabad
102,2013,Land Rover,Land Rover Range Rover Evoque Dynamic SD4,Evoque,2600000.0,68000.0,Diesel,Hyderabad
103,2020,Kia,Kia Seltos HTK Plus AT 1.5 Diesel [2020-2021],Seltos,1599000.0,4100.0,Diesel,Hyderabad
104,2013,Toyota,Toyota Fortuner 3.0 4x2 MT,Fortuner,1399000.0,166000.0,Diesel,Hyderabad
105,2018,Maruti Suzuki,Maruti Suzuki Dzire VXi AMT,Dzire,725000.0,61000.0,Petrol,Hyderabad
106,2017,Honda,Honda City ZX CVT Petrol [2017-2019],City,1095000.0,20111.0,Petrol,Hyderabad
107,2017,Toyota,Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],Innova,1875000.0,94000.0,Diesel,Hyderabad
108,2018,Toyota,Toyota Innova Crysta 2.8 GX AT 8 STR [2016-2020],Innova,1645000.0,78263.0,Diesel,Hyderabad
109,2013,Mahindra,Mahindra Thar DI 4WD PS BS III,Thar,585000.0,60628.0,Diesel,Hyderabad
110,2018,Volvo,Volvo XC90 D5 AWD,XC90,6850000.0,39000.0,Diesel,Hyderabad
111,2017,Hyundai,Hyundai Creta 1.6 SX Plus AT Petrol,Creta,1245000.0,24250.0,Petrol,Hyderabad
112,2012,Toyota,Toyota Innova 2.5 G4 8 STR,Innova,800000.0,69000.0,Diesel,Hyderabad
113,2011,Mercedes-Benz,Mercedes-Benz E-Class E250 Elegance,E-Class,1100000.0,68000.0,Petrol,Hyderabad
114,2017,Toyota,Toyota Innova Crysta 2.4 VX 8 STR [2016-2020],Innova,1895000.0,34000.0,Diesel,Hyderabad
115,2015,Volkswagen,Volkswagen Polo Comfortline 1.5L (D),Polo,550000.0,103000.0,Diesel,Hyderabad
116,2012,Toyota,Toyota Innova 2.5 E 8 STR,Innova,825000.0,135000.0,Diesel,Hyderabad
117,2015,Hyundai,Hyundai i20 Active 1.2 SX,i20,670000.0,29000.0,Petrol,Hyderabad
118,2018,Hyundai,Hyundai Verna SX (O) 1.6 CRDi AT,Verna,1150000.0,41000.0,Diesel,Hyderabad
119,2019,Maruti Suzuki,Maruti Suzuki Ertiga ZDi Plus 1.5 Diesel,Ertiga,1220000.0,63000.0,Diesel,Hyderabad
120,2008,Maruti Suzuki,Maruti Suzuki A-Star Vxi,A-Star,250000.0,75000.0,Petrol,Hyderabad
121,2014,Maruti Suzuki,Maruti Suzuki Ertiga VDi,Ertiga,690000.0,126000.0,Diesel,Hyderabad
